SOD,Num_Sat_Rcv, X, Y, Z, Receiver_Bias,GDOP
1,13,6347495.14,-22945.1889,622826.12,-5.20567897,2.71692484
31,13,6347495.53,-22945.1884,622826.06,-4.84414777,2.72613568
61,13,6347494.31,-22945.187,622825.918,-5.52632433,2.735362
91,13,6347493.94,-22945.0489,622826.133,-5.73365471,2.7445994
121,13,6347500.36,-22943.1113,622829.799,-0.330848793,2.08608366
151,13,6347503.18,-22943.8714,622829.052,2.06082288,2.09080895
181,13,6347501.92,-22943.3029,622829.101,1.70117183,2.09557527
211,13,6347501.34,-22943.4808,622829.36,0.97540404,2.10038241
241,13,6347501.72,-22943.587,622829.079,1.09275998,2.10523058
271,13,6347502.2,-22943.4952,622828.757,1.03352305,2.11012006
301,13,6347500.94,-22943.2586,622828.906,0.305810013,2.11505121
331,13,6347500.97,-22943.2227,622828.957,0.369077943,2.12002385
361,13,6347501.53,-22943.0935,622828.648,0.793391396,2.12503816
391,13,6347501.44,-22943.8537,622827.95,-0.0733796917,2.13009435
421,13,6347501.53,-22943.7391,622828.49,0.0640444493,2.13519229
451,13,6347500.4,-22943.7252,622828.044,-0.717832922,2.14033216
481,13,6347499.97,-22943.2781,622828.383,-0.944374053,2.14551365
511,14,6347501.11,-22943.1518,622828.775,-0.0198862416,2.15073654
541,14,6347501.85,-22942.8499,622828.528,-0.0722796335,2.15600089
571,14,6347500.96,-22943.468,622828.13,-1.49838913,2.1613066
601,14,6347500.92,-22942.9537,622828.19,-1.28083435,2.16665307
631,14,6347499.7,-22943.2932,622827.971,-2.40118513,2.1720402
661,14,6347502.72,-22943.366,622828.502,-0.435783894,2.17746693
691,14,6347500.44,-22943.5101,622827.812,-2.26963722,2.18293388
721,14,6347500.96,-22943.33,622828.042,-1.62700971,2.18843954
751,14,6347498.81,-22943.0431,622827.878,-3.19456242,2.1939839
781,14,6347498.24,-22943.3556,622827.974,-3.28557003,2.19956576
811,14,6347500.58,-22943.1987,622828.14,-1.32340314,2.20518416
841,14,6347499.54,-22943.3449,622827.528,-1.58303302,2.21083894
871,14,6347500.74,-22943.4694,622827.347,-0.539709997,2.21652846
901,14,6347500.06,-22943.1449,622827.968,-0.354576018,2.22225212
931,14,6347501,-22943.2869,622827.172,0.119029086,2.22800837
961,14,6347499.46,-22942.9396,622827.441,-0.792996039,2.23379639
991,14,6347500.37,-22942.7805,622827.755,0.00232959298,2.23961424
1021,14,6347500.41,-22943.3553,622827.261,-0.0991931698,2.24546085
1051,13,6347497.53,-22943.599,622827.275,-1.91020244,2.25133483
1081,13,6347500.53,-22943.4968,622827.089,0.0282275933,2.25723346
1111,13,6347497.7,-22943.425,622827.319,-2.08365727,2.26315628
1141,14,6347498.06,-22943.5625,622826.849,-2.16655324,2.26910029
1171,13,6347497.78,-22943.5153,622826.851,-2.15739006,2.27506386
1201,13,6347497.9,-22943.8944,622826.673,-2.05215528,2.28104469
1231,13,6347497.61,-22944.1018,622826.947,-2.2959166,2.28704051
1261,13,6347496.37,-22943.8898,622826.537,-3.15351009,2.29304894
1291,13,6347497.61,-22944.0925,622826.533,-2.1579096,2.29906696
1321,13,6347496.99,-22943.6798,622826.139,-2.64842643,2.30509235
1351,13,6347496.11,-22943.9649,622826.079,-3.28729793,2.31112204
1381,13,6347496.48,-22944.2984,622826.322,-2.74568999,2.31715282
1411,13,6347497.03,-22944.2917,622826.273,-2.48579995,2.32318163
1441,13,6347495.82,-22944.6123,622826.07,-3.49651078,2.32920541
1471,13,6347497.02,-22944.4669,622825.999,-2.62307471,2.33522015
1501,13,6347497.3,-22944.6731,622826.011,-2.4880625,2.34122265
1531,13,6347496.79,-22944.4337,622826.606,-2.65732692,2.34720911
1561,13,6347497.75,-22944.9,622826.06,-1.80177191,2.35317535
1591,13,6347496.15,-22944.4468,622826.035,-3.17197694,2.35911775
1621,13,6347497.56,-22944.8527,622826.243,-2.03826868,2.36503143
1651,13,6347495.47,-22944.7235,622826.535,-3.78165173,2.3709128
1681,13,6347496,-22944.903,622825.853,-3.12852091,2.37675656
1711,13,6347495.2,-22944.5954,622825.88,-3.81774844,2.38255852
1741,13,6347498.22,-22944.7642,622826.005,-1.54980929,2.38831322
1771,13,6347496.78,-22944.7865,622825.839,-2.78310498,2.39401674
1801,13,6347495.86,-22944.3217,622826.191,-3.18353849,2.39966332
1831,13,6347496.96,-22944.6254,622826.414,-2.52250811,2.40524755
1861,13,6347496.15,-22944.901,622825.877,-3.20206292,2.41076456
1891,13,6347496.6,-22944.3602,622826.402,-2.54003266,2.4162084
1921,13,6347497.47,-22944.6941,622826.265,-1.8719557,2.42157362
1951,13,6347498.41,-22944.3927,622825.357,-1.34632202,2.07423502
1981,13,6347497.48,-22944.3156,622825.707,-2.16979388,2.08220652
2011,13,6347498.28,-22943.7239,622826.114,-1.71266806,2.09016812
2041,13,6347498.92,-22944.0965,622825.672,-1.47582813,2.09811419
2071,13,6347497.88,-22944.1998,622825.899,-2.20020821,2.10603876
2101,13,6347497.71,-22944.1933,622825.668,-2.24948104,2.11393532
2131,13,6347497.48,-22944.47,622825.45,-2.42463264,2.12179745
2161,13,6347498.66,-22944.2948,622826.117,-1.7624878,2.12961829
2191,13,6347497.65,-22944.3506,622825.605,-2.2345378,2.1373914
2221,13,6347497.48,-22944.5368,622825.516,-2.56421957,2.14510934
2251,13,6347498.63,-22943.8584,622825.789,-1.62217668,2.15276481
2281,13,6347498.14,-22944.1744,622826.018,-2.00093898,2.16035074
2311,13,6347498.7,-22944.1903,622826.072,-1.4629837,2.16785925
2341,13,6347499.01,-22944.5035,622825.485,-1.31942884,2.17528277
2371,13,6347497.56,-22944.3048,622825.913,-2.35951785,2.18261355
2401,13,6347499.77,-22944.168,622826.523,-0.654171592,2.18984301
2431,13,6347498.15,-22944.0506,622825.487,-1.78870911,2.19696393
2461,13,6347497.56,-22944.081,622825.718,-2.24450383,2.20396752
2491,13,6347497.9,-22944.7809,622825.539,-2.4230799,2.21084553
2521,13,6347498.32,-22944.4125,622825.307,-2.05350964,2.21758969
2551,13,6347497,-22944.051,622825.338,-3.00390071,2.22419184
2581,13,6347499.02,-22944.5228,622825.516,-1.43483219,2.23064302
2611,13,6347496.52,-22944.5805,622825.315,-3.19184626,2.23693571
2641,13,6347498.28,-22944.2414,622825.661,-1.78871307,2.24306049
2671,13,6347497.61,-22944.1195,622825.643,-2.34072518,2.24900985
2701,13,6347498.7,-22944.2594,622825.64,-1.45194725,2.25477501
2731,13,6347498.15,-22944.6463,622825.454,-1.74644648,2.26034822
2761,13,6347498.94,-22944.1693,622825.829,-1.47585029,2.26572103
2791,13,6347498.28,-22944.4742,622825.765,-1.8209741,2.27088591
2821,13,6347498.24,-22944.0889,622825.874,-1.58673753,2.27583485
2851,13,6347497.87,-22943.8459,622825.779,-2.15166116,2.28056045
2881,13,6347498.54,-22944.2182,622825.616,-1.85333017,2.28505523
2911,13,6347499.52,-22944.1715,622825.821,-1.10127766,2.28931219
2941,13,6347498.92,-22944.0342,622826.222,-1.20014764,2.2933248
2971,13,6347498.21,-22944.1098,622825.477,-1.62147419,2.29708641
3001,13,6347498.83,-22943.8563,622825.808,-1.38738545,2.30059066
3031,13,6347499.37,-22944.102,622826.14,-1.13355174,2.30383196
3061,13,6347499.47,-22944.0829,622826.666,-1.18754692,2.3068049
3091,13,6347499.4,-22943.7554,622826.385,-1.50032709,2.30950443
3121,13,6347497.95,-22944.4812,622825.848,-2.33983463,2.31192615
3151,13,6347498.49,-22943.8589,622826.186,-2.02079443,2.31406537
3181,13,6347499.28,-22944.0412,622825.993,-1.27775122,2.31591869
3211,13,6347498.93,-22943.829,622825.54,-1.4486059,2.31748301
3241,13,6347500.47,-22943.4429,622826.505,-0.494941839,2.31875519
3271,13,6347498.67,-22944.0705,622826.083,-1.49840332,2.3197337
3301,13,6347499.17,-22943.4275,622826.353,-1.27003714,2.32041601
3331,13,6347499.25,-22943.7962,622826.716,-1.15234321,2.32080133
3361,13,6347499.21,-22943.6839,622826.613,-1.1494311,2.32088887
3391,13,6347498.83,-22944.0834,622826.116,-1.35155789,2.32067852
3421,13,6347500.11,-22943.7778,622826.516,-0.566728861,2.32017036
3451,13,6347499.51,-22944.1787,622826.304,-0.657743392,2.31936577
3481,13,6347500.19,-22944.3425,622826.725,-0.308679498,2.31826572
3511,13,6347500.55,-22943.7135,622826.426,0.265121191,2.31687234
3541,13,6347499.7,-22943.3764,622826.105,-0.613572773,2.31518821
3571,13,6347500.17,-22943.5717,622826.707,-0.239561308,2.31321597
3601,13,6347498.96,-22943.3785,622826.434,-0.917950338,2.31095932
3631,13,6347499.97,-22943.4208,622826.223,0.081355823,2.30842175
