Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
C,1,-14,-34338618.7,24272523.7,-2911132.31,0.000885074092
C,2,-14,4461533.81,41867326.3,-2841100.69,0.000440106343
C,3,-14,-14761349.5,39350294.7,-3663882.29,-1.75681568e-05
C,4,-14,-39619739.1,14183226.6,-2263895.73,0.000835367842
C,5,-14,21898280.3,35975532.5,-2055661.54,-0.000746114725
C,6,-14,-6008013.1,24080161,34150919,0.00011923539
C,7,-14,-17357292.1,35778249.9,-14220208.5,-0.000823839476
C,8,-14,-2877384.82,38212450.8,-17333723.9,2.75915922e-05
C,9,-14,3444300.3,27179375.6,32644336.7,-0.000508948231
C,10,-14,-11064915.3,35867974.3,-19393133.3,7.93637053e-05
C,11,-14,27762001.4,2749156.12,-534476.765,0.000417848873
C,12,-14,17761388.9,12824887.7,-17249320.9,0.000766677216
C,13,-14,2908485.79,40853409.9,-9193520.46,0.000418561352
C,14,-14,18601709.9,-3078313.28,20570379.9,0.000221413671
C,16,-14,-8584828.12,22641824.2,34788839.6,-0.00034787986
C,19,-14,-20027462.8,12692768.6,-14707134.3,-0.000925555551
C,20,-14,-15131521.4,-5061815.09,-22882792.3,-0.000176294127
C,21,-14,503875.427,21447129.5,17879900.7,-0.00096188859
C,22,-14,-13756355.9,24179520.6,2387039.45,-0.000104634827
C,23,-14,6006532.16,-19092166.9,-19453915.6,-0.000780211568
C,24,-14,18433186.1,17385182.8,-11686897.1,0.0008972822
C,25,-14,16957865.9,-2119659.78,-22072361,0.000329530431
C,26,-14,9839544.49,25611429.1,4975543.31,-0.000251169826
C,27,-14,-8791196.4,-15529555.7,21432365.8,0.000273145851
C,28,-14,10486639.2,-14431725.9,21465740.5,0.00020785696
C,29,-14,-26413326,4838280.34,-7588452.57,0.000243650253
C,30,-14,-24553265.7,-7916966.5,10600970.4,-2.69383667e-05
C,32,-14,-603628.05,-21471114.4,-17788319.7,-0.000569740039
C,33,-14,19962603.8,-12666389.9,14819113.9,-0.000949968681
C,34,-14,25390471,7041496.2,-9242867.93,0.000372343985
C,35,-14,-10016754.4,14873525.5,-21383551.5,0.000430402702
C,36,-14,-17200854.6,1172350.49,21958348.6,-1.00868796e-05
C,37,-14,-8949348.81,-25886301.5,-5414718.33,-0.000937297439
C,38,-14,-8030390.55,34089553.9,-23321142.4,0.000137682321
