tk,Œ¿–«±‡∫≈,X,Y,Z,÷”≤Ó
0,PG01,22988.015891,11963.087323,6244.611827,170.119529
0,PG02,22395.959339,14404.054111,-1454.678265,-483.296513
0,PG03,12099.350404,12630.636229,19883.700922,201.929702
0,PG04,19580.424000,4872.968966,17354.626942,295.098779
0,PG05,-7039.903263,-22771.891742,-11791.818098,-162.326388
0,PG06,5928.005516,-13617.923129,22078.421941,401.635166
0,PG07,21474.986352,1828.635151,-15333.365618,-65.225758
0,PG08,12584.512538,10425.383041,-21105.354443,-167.705646
0,PG09,24762.553325,-6558.202386,7050.907266,96.794065
0,PG10,-10665.324388,20191.304572,-13078.916746,0.967285
0,PG11,-5748.144673,-19531.492627,17106.674596,-580.433906
0,PG12,-11333.156941,-13916.519034,19314.497010,-479.331987
0,PG13,-2252.383321,-15005.907213,-21988.720879,626.800284
0,PG14,13333.306726,-16751.826881,-15573.109534,329.363051
0,PG15,-13637.034830,-9730.045199,-21135.377181,129.137414
0,PG16,497.047783,25387.500428,-7264.843441,-359.621187
0,PG17,22262.509131,-13331.298191,6453.960832,716.544176
0,PG18,-20458.450047,-749.954999,-17006.396472,-558.581183
0,PG19,15968.208056,-15507.838341,14023.274628,442.594801
0,PG20,-963.139360,-26584.109940,1668.313123,386.984242
0,PG21,20051.992832,16841.466745,-6402.148043,134.432257
0,PG22,10362.251925,-22905.743769,-8580.998541,28.974754
0,PG23,-14454.193212,8374.478428,-20579.423970,159.138618
0,PG24,-21042.526537,-16036.832012,-4580.495730,-433.955961
0,PG25,-15170.155758,-1888.613304,21383.390312,489.000137
0,PG26,-3993.125563,25587.689888,4786.032771,188.743234
0,PG27,-778.236109,16461.905845,-21014.603685,-5.227675
0,PG28,-8537.498442,12563.527250,21766.505669,-135.729162
0,PG29,-25021.238084,3093.247522,8467.849147,-606.694941
0,PG30,14431.843764,-8348.574831,-20594.122523,-430.769829
0,PG31,638.899958,17672.881651,19480.923086,-227.810961
0,PG32,-19332.798209,15876.136508,8807.261382,-612.343485
5,PG01,23146.967365,12137.040803,5312.493481,170.120023
5,PG02,22281.110245,14421.318040,-2403.148063,-483.294675
5,PG03,12007.115697,13381.208080,19450.519797,201.936875
5,PG04,18983.476406,5178.847431,17916.641304,295.101624
5,PG05,-6958.965726,-23195.632181,-10970.844586,-162.327203
5,PG06,6612.800594,-13138.604507,22177.615952,401.630687
5,PG07,21926.061167,2218.568387,-14664.369414,-65.228829
5,PG08,11878.682038,10801.856235,-21312.351267,-167.705431
5,PG09,24540.873692,-6356.520606,7942.177757,96.797909
5,PG10,-10680.648303,19662.292046,-13847.499878,0.967601
5,PG11,-5195.492371,-19166.995343,17685.359436,-580.437699
5,PG12,-11180.653056,-14646.751957,18866.818803,-479.333084
5,PG13,-1465.215060,-15238.855839,-21887.445201,626.801505
5,PG14,13336.607421,-16137.563384,-16210.671973,329.366042
5,PG15,-13000.932114,-10177.069228,-21323.197310,129.138790
5,PG16,367.378526,25618.421318,-6350.484120,-359.618583
5,PG17,22483.098967,-13347.234235,5533.964651,716.544145
5,PG18,-20947.243938,-1155.709278,-16383.062726,-558.583613
5,PG19,16494.224179,-15618.525776,13271.004993,442.596157
5,PG20,-868.080443,-26513.579006,2607.296782,386.984265
5,PG21,19785.971055,16757.200492,-7289.304429,134.431854
5,PG22,10371.816733,-22539.817835,-9442.953781,28.972944
5,PG23,-14436.759955,7582.548811,-20901.334006,159.141065
5,PG24,-20843.553480,-16033.709587,-5481.334740,-433.957793
5,PG25,-15113.096961,-2725.712683,21342.165889,489.000506
5,PG26,-4110.912964,25378.714149,5696.591583,188.742024
5,PG27,-1493.704608,16771.359577,-20712.580753,-5.228629
5,PG28,-9233.699186,12111.286413,21738.491998,-135.733018
5,PG29,-24726.626477,2911.461049,9344.013872,-606.694776
5,PG30,15063.907055,-7874.472979,-20336.281058,-430.768330
5,PG31,-8.089484,17257.317310,19868.051108,-227.810931
5,PG32,-19649.268662,15938.865102,7923.420318,-612.344040
10,PG01,23280.317959,12287.453857,4370.327750,170.120495
10,PG02,22135.119902,14423.852138,-3347.061613,-483.292718
10,PG03,11929.950252,14116.059916,18979.792326,201.944029
10,PG04,18373.284155,5503.759092,18444.554747,295.104405
10,PG05,-6885.963523,-23589.558221,-10128.926513,-162.327688
10,PG06,7308.899243,-12670.783547,22234.603878,401.626130
10,PG07,22361.792770,2585.870109,-13967.011709,-65.231270
10,PG08,11172.927357,11193.990834,-21479.111663,-167.705968
10,PG09,24293.227331,-6135.448614,8818.250218,96.801708
10,PG10,-10703.827847,19104.820590,-14588.819910,0.967864
10,PG11,-4619.406085,-18799.804688,18230.307750,-580.441524
10,PG12,-11043.254527,-15361.694004,18382.243741,-479.334206
10,PG13,-686.465794,-15484.676109,-21744.972238,626.802542
10,PG14,13347.904493,-15500.156845,-16816.907604,329.369037
10,PG15,-12367.144302,-10638.136658,-21472.021745,129.140130
10,PG16,246.568440,25817.109317,-5423.737616,-359.615879
10,PG17,22671.707663,-13353.425604,4603.568151,716.543618
10,PG18,-21423.477748,-1538.703622,-15728.567495,-558.586101
10,PG19,16990.813957,-15728.291021,12492.589039,442.598071
10,PG20,-767.977863,-26409.780191,3541.341491,386.983657
10,PG21,19489.170522,16662.497155,-8163.074973,134.431160
10,PG22,10383.170099,-22141.918301,-10286.801978,28.970775
10,PG23,-14433.346900,6779.194018,-21183.004840,159.143514
10,PG24,-20615.560631,-16017.924263,-6372.028286,-433.959644
10,PG25,-15070.039495,-3560.929003,21258.828712,489.000841
10,PG26,-4232.446094,25137.256363,6595.957451,188.740794
10,PG27,-2193.368058,17088.173500,-20371.496294,-5.229653
10,PG28,-9936.109658,11672.212472,21668.781725,-135.736891
10,PG29,-24405.019233,2712.031267,10202.353040,-606.694388
10,PG30,15694.551898,-7416.597698,-20039.263183,-430.766796
10,PG31,-673.186325,16844.756956,20216.078067,-227.810987
10,PG32,-19934.787062,15991.709209,7024.325854,-612.344614
15,PG01,23386.938875,12415.295154,3419.909317,170.120970
15,PG02,21957.492215,14412.969630,-4284.616384,-483.291068
15,PG03,11867.253987,14833.493949,18472.447780,201.951176
15,PG04,17751.542114,5847.780814,18937.353383,295.107189
15,PG05,-6819.666547,-23952.752502,-9267.656803,-162.327787
15,PG06,8014.786230,-12215.595747,22249.290554,401.621595
15,PG07,22780.661246,2930.722032,-13242.704042,-65.233985
15,PG08,10468.892600,11601.172390,-21605.277635,-167.706583
15,PG09,24020.819031,-5894.189554,9677.442191,96.805523
15,PG10,-10736.046306,18520.088275,-15301.415537,0.968139
15,PG11,-4020.624416,-18431.453416,18740.478741,-580.445353
15,PG12,-10920.474379,-16059.661160,17861.746203,-479.335325
15,PG13,82.225901,-15742.597791,-21561.540768,626.803395
15,PG14,13368.174665,-14840.915778,-17390.656303,329.372045
15,PG15,-11737.119942,-11112.487528,-21581.569413,129.141231
15,PG16,133.367957,25982.828080,-4486.394176,-359.613512
15,PG17,22828.461584,-13348.427187,3664.506320,716.542976
15,PG18,-21885.494603,-1898.979872,-15044.167490,-558.588568
15,PG19,17457.309666,-15835.668587,11689.560815,442.599374
15,PG20,-661.526694,-26273.118995,4468.679053,386.983202
15,PG21,19161.470445,16558.751416,-9021.814318,134.430874
15,PG22,10397.643998,-21712.644676,-11110.887745,28.968808
15,PG23,-14444.432845,5966.206369,-21423.913453,159.145950
15,PG24,-20358.383654,-15990.808274,-7250.942436,-433.961479
15,PG25,-15040.950489,-4392.408061,21133.579554,489.001168
15,PG26,-4358.951764,24863.852844,7482.359824,188.739571
15,PG27,-2875.940087,17411.133754,-19991.936074,-5.230622
15,PG28,-10643.123364,11247.173857,21557.508155,-135.740734
15,PG29,-24057.653249,2494.087381,11041.223454,-606.694269
15,PG30,16322.168314,-6975.526821,-19703.674019,-430.765297
15,PG31,-1355.238710,16436.606536,20524.348181,-227.810993
15,PG32,-20189.367680,16033.208398,6111.695728,-612.345208
20,PG01,23465.782564,12521.612949,2463.042696,170.121451
20,PG02,21747.834729,14390.021694,-5214.014338,-483.289275
20,PG03,11818.332918,15531.867952,17929.485506,201.958329
20,PG04,17119.962961,6210.887217,19394.089263,295.110007
20,PG05,-6758.797218,-24284.395244,-8388.667687,-162.327948
20,PG06,8728.885226,-11774.090117,22221.660779,401.617104
20,PG07,23181.185431,3253.407345,-12492.903710,-65.236800
20,PG08,9768.192776,12022.691702,-21690.566208,-167.706471
20,PG09,23724.922538,-5632.030099,10518.102355,96.809333
20,PG10,-10778.420190,17909.386272,-15983.883490,0.968416
20,PG11,-3399.984775,-18063.441251,19214.897627,-580.449191
20,PG12,-10811.731953,-16739.021082,17306.370659,-479.336478
20,PG13,839.269146,-16011.761343,-21337.465838,626.804376
20,PG14,13398.323234,-14161.221207,-17930.822076,329.375016
20,PG15,-11112.266138,-11599.279343,-21651.627624,129.142322
20,PG16,26.487118,26114.946116,-3540.271098,-359.611152
20,PG17,22953.592002,-13330.816513,2718.535776,716.542528
20,PG18,-22331.662123,-2236.684671,-14331.174883,-558.591032
20,PG19,17893.155042,-15939.171529,10863.504108,442.601142
20,PG20,-547.450872,-26104.102838,5387.554465,386.982708
20,PG21,18802.853623,16447.371717,-9863.894712,134.430879
20,PG22,10416.537280,-21252.702336,-11913.587625,28.967320
20,PG23,-14470.396763,5145.409511,-21623.616102,159.148379
20,PG24,-20071.953261,-15953.712410,-8116.468240,-433.963311
20,PG25,-15025.696871,-5218.308188,20966.703766,489.001503
20,PG26,-4491.623975,24559.143155,8354.053442,188.738355
20,PG27,-3540.208924,17738.960360,-19574.559428,-5.231592
20,PG28,-11353.091211,10836.947635,21404.884434,-135.744596
20,PG29,-23685.838652,2256.841002,11859.017977,-606.694129
20,PG30,16945.129859,-6551.741702,-19330.192209,-430.763777
20,PG31,-2053.011385,16034.213669,20792.286855,-227.811050
20,PG32,-20413.132512,16061.921829,5187.277277,-612.345771
25,PG01,23515.887192,12607.529677,1501.538899,170.121897
25,PG02,21505.861268,14356.391207,-6133.465371,-483.287394
25,PG03,11782.402760,16209.601634,17351.972812,201.965478
25,PG04,16480.270326,6592.950035,19813.882221,295.112846
25,PG05,-6702.036651,-24583.767555,-7493.627711,-162.328645
25,PG06,9449.564871,-11347.225188,22151.779253,401.612603
25,PG07,23561.929013,3554.308155,-11719.110468,-65.239269
25,PG08,9072.407549,12457.747123,-21734.770270,-167.707016
25,PG09,23406.875062,-5348.344421,11338.613736,96.813166
25,PG10,-10831.993612,17274.093682,-16634.881531,0.968651
25,PG11,-2758.420633,-17697.228503,19652.657492,-580.452996
25,PG12,-10716.356166,-17398.199564,16717.229290,-479.337314
25,PG13,1583.126732,-16291.221292,-21073.138436,626.805418
25,PG14,13439.179698,-13462.521313,-18436.375130,329.377981
25,PG15,-10493.943390,-12097.589901,-21682.052500,129.143841
25,PG16,-75.397952,26212.939876,-2587.209098,-359.608392
25,PG17,23047.434025,-13299.200496,1767.431724,716.541988
25,PG18,-22760.379199,-2552.067954,-13590.954790,-558.593522
25,PG19,18297.907033,-16037.298619,10016.049040,442.602775
25,PG20,-424.509425,-25903.338916,6296.229120,386.982455
25,PG21,18413.407708,16329.774079,-10687.708922,134.430298
25,PG22,10441.109243,-20762.900402,-12693.313528,28.965128
25,PG23,-14511.516051,4318.651297,-21781.749038,159.150791
25,PG24,-19756.295819,-15907.999888,-8967.024256,-433.965146
25,PG25,-15024.046277,-6036.807588,20758.570355,489.001848
25,PG26,-4631.617716,24223.867568,9209.322063,188.737118
25,PG27,-4185.041949,18070.312383,-19120.098515,-5.232566
25,PG28,-12064.327947,10442.216663,21211.203134,-135.748448
25,PG29,-23290.953299,1999.590396,12654.168620,-606.693730
25,PG30,17561.800188,-6145.625987,-18919.568348,-430.762241
25,PG31,-2765.190482,15638.861942,21019.401646,-227.811155
25,PG32,-20606.310357,16076.435166,4252.844101,-612.346346
30,PG01,23536.380749,12674.236274,537.212148,170.122371
30,PG02,21231.394156,14313.486314,-7041.190778,-483.285595
30,PG03,11758.592918,16865.182748,16741.042702,201.972629
30,PG04,15834.191899,6993.737917,20195.921602,295.115667
30,PG05,-6648.031021,-24850.254334,-6584.238652,-162.329341
30,PG06,10175.145088,-10935.865427,22039.790361,401.608087
30,PG07,23921.506410,3833.902513,-10922.863202,-65.242421
30,PG08,8383.075132,12905.447265,-21737.759295,-167.707230
30,PG09,23068.071513,-5042.597787,12137.396862,96.817004
30,PG10,-10897.733024,16615.671996,-17253.131306,0.968971
30,PG11,-2096.958359,-17334.229863,20052.921005,-580.456817
30,PG12,-10633.589190,-18035.686723,16095.499479,-479.338596
30,PG13,2312.320891,-16579.949983,-20769.025022,626.806580
30,PG14,13491.493739,-12746.325794,-18906.353806,329.380972
30,PG15,-9883.460630,-12606.420453,-21672.769308,129.144749
30,PG16,-173.638383,26276.396391,-1629.068574,-359.605864
30,PG17,23110.425076,-13252.222109,812.984855,716.541832
30,PG18,-23170.082648,-2845.480999,-12824.922657,-558.596015
30,PG19,18671.237041,-16128.541589,9148.868563,442.604090
30,PG20,-291.502541,-25671.531650,7192.983987,386.981735
30,PG21,17993.326072,16207.375843,-11491.673201,134.430032
30,PG22,10472.573342,-20244.149157,-13448.516140,28.963244
30,PG23,-14567.965249,3487.796584,-21898.029049,159.153234
30,PG24,-19411.533590,-15855.040195,-9801.059031,-433.966986
30,PG25,-15035.668439,-6846.111568,20509.630881,489.002195
30,PG26,-4780.042936,23858.864073,10046.482117,188.735905
30,PG27,-4809.389925,18403.793389,-18629.357419,-5.233549
30,PG28,-12775.118777,10063.567157,20976.835695,-135.752315
30,PG29,-22874.437011,1721.724375,13425.149558,-606.693659
30,PG30,18170.539650,-5757.464822,-18472.623272,-430.760700
30,PG31,-3490.388660,15251.765532,21205.283028,-227.811337
30,PG32,-20769.235441,16075.367405,3310.192640,-612.346912
35,PG01,23526.484774,12722.986253,-428.123396,170.122846
35,PG02,20924.366003,14262.733858,-7935.426764,-483.283753
35,PG03,11745.950870,17497.172890,16097.891503,201.979798
35,PG04,15183.452520,7412.916692,20539.467861,295.118496
35,PG05,-6595.398114,-25083.346743,-5662.232360,-162.329661
35,PG06,10903.903593,-10540.778061,21885.917820,401.603589
35,PG07,24258.588404,4092.761060,-10105.736585,-65.244960
35,PG08,7701.686328,13364.814119,-21699.479931,-167.708115
35,PG09,22709.958520,-4714.349775,12912.912854,96.820893
35,PG10,-10976.522312,15935.659173,-17837.421037,0.969215
35,PG11,-1416.713656,-16975.808402,20414.922016,-580.460596
35,PG12,-10562.590517,-18650.042907,15442.421170,-479.339534
35,PG13,3025.438826,-16876.841698,-20425.666936,626.807606
35,PG14,13555.931585,-12014.199980,-19339.866365,329.383976
35,PG15,-9282.070451,-13124.699167,-21623.772719,129.145979
35,PG16,-269.605736,26305.015432,-667.725780,-359.603142
