tk,Œ¿–«±‡∫≈,X,Y,Z,÷”≤Ó,Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
0,PC06,-6008.017038,24080.16078,34150.91987,119.161287,C,6,-14,-6008013.1,24080161,34150919,0.000119235
0,PC07,-17357.29533,35778.24915,-14220.209,-823.923772,C,7,-14,-17357292.1,35778249.9,-14220208.5,-0.000823839
0,PC08,-2877.388307,38212.45179,-17333.72385,27.510447,C,8,-14,-2877384.82,38212450.8,-17333723.9,2.76E-05
0,PC09,3444.296182,27179.37717,32644.33687,-509.038988,C,9,-14,3444300.3,27179375.6,32644336.7,-0.000508948
0,PC10,-11064.91823,35867.97407,-19393.13382,79.315385,C,10,-14,-11064915.3,35867974.3,-19393133.3,7.94E-05
0,PC11,27762.00245,2749.158378,-534.474403,417.774904,C,11,-14,27762001.4,2749156.12,-534476.765,0.000417849
0,PC12,17761.39124,12824.88887,-17249.3181,766.613765,C,12,-14,17761388.9,12824887.7,-17249320.9,0.000766677
0,PC13,2908.481471,40853.41162,-9193.520068,418.513943,C,13,-14,2908485.79,40853409.9,-9193520.46,0.000418561
0,PC14,18601.71085,-3078.309424,20570.38134,221.353336,C,14,-14,18601709.9,-3078313.28,20570379.9,0.000221414
0,PC16,-8584.832111,22641.82415,34788.84008,-347.947818,C,16,-14,-8584828.12,22641824.2,34788839.6,-0.00034788
0,PC19,-20027.46526,12692.76676,-14707.13482,-925.614297,C,19,-14,-20027462.8,12692768.6,-14707134.3,-0.000925556
0,PC20,-15131.52159,-5061.817051,-22882.79325,-176.355877,C,20,-14,-15131521.4,-5061815.09,-22882792.3,-0.000176294
0,PC21,503.872425,21447.13047,17879.90153,-961.949676,C,21,-14,503875.427,21447129.5,17879900.7,-0.000961889
0,PC22,-13756.35975,24179.51989,2387.039528,-104.70107,C,22,-14,-13756355.9,24179520.6,2387039.45,-0.000104635
0,PC23,6006.534684,-19092.167,-19453.91649,-780.293272,C,23,-14,6006532.16,-19092166.9,-19453915.6,-0.000780212
0,PC24,18433.18467,17385.18591,-11686.89768,897.232183,C,24,-14,18433186.1,17385182.8,-11686897.1,0.000897282
